video,frame,timestamp,nickname,confidence
v2.mp4,5,0.2,Elka,0.786477851117411
v2.mp4,10,0.4,Tania,0.7776710624098659
v2.mp4,15,0.6,Emiko,0.7882770382253618
v2.mp4,20,0.8,Carina,0.7768500787499768
v2.mp4,25,1.0,阿 Mic,0.784931844537883
v2.mp4,30,1.2,Stella,0.7826917138645784
v2.mp4,35,1.4,WINKA,0.7862215493326409
v2.mp4,40,1.6,阿 J,0.7766881805312232
v2.mp4,45,1.8,馬欣,0.7840070073603206
v2.mp4,50,2.0,鉦貽,0.7815118202967123
v2.mp4,55,2.2,Zoe,0.7817383910881754
v2.mp4,60,2.4,穎蕎,0.7883317646570056
v2.mp4,65,2.6,Sam,0.7788323226605305
v2.mp4,70,2.8,Ariel,0.7823816995866403
v2.mp4,75,3.0,露髀,0.7835086254025995
v2.mp4,80,3.2,Sinnie,0.7798386229964064
v2.mp4,85,3.4,Ivy So,0.7742098908899834
v2.mp4,90,3.6,Ana,0.7856730565608127
v2.mp4,95,3.8,Jackie,0.7761582221403569
v2.mp4,100,4.0,2Ling,0.7838114944552116
v2.mp4,105,4.2,阿 bee,0.775328209363757
v2.mp4,110,4.4,Ana,0.7816996631128299
v2.mp4,115,4.6,Miko,0.7788662847598278
v2.mp4,120,4.8,Jolin,0.7855062730353792
v2.mp4,125,5.0,Caca,0.7743334938263399
v2.mp4,130,5.2,Vicky,0.7706029724243838
v2.mp4,135,5.4,Carina,0.7739954270847292
v2.mp4,140,5.6,Ashi,0.7938516280961079
v2.mp4,145,5.8,Miko,0.7780600119444471
v2.mp4,150,6.0,Sam,0.7792511420362722
v2.mp4,155,6.2,Jade Chan,0.7828275152129891
v2.mp4,160,6.4,So Ching,0.789340721464242
v2.mp4,165,6.6,Tania,0.7821236831224635
v2.mp4,170,6.8,阿蛋,0.7761307891793723
v2.mp4,175,7.0,Tania,0.7755230245679006
v2.mp4,180,7.2,Ivy So,0.7694334728551014
v2.mp4,185,7.4,Tania,0.7869398776904173
v2.mp4,190,7.6,Tania,0.7880464564425824
v2.mp4,195,7.8,Emi,0.7852284329797349
v2.mp4,200,8.0,阿蛋,0.7869320327196364
v2.mp4,205,8.2,Kay,0.77004201275298
v2.mp4,210,8.4,Miko,0.7846980940321956
v2.mp4,215,8.6,WINKA,0.771263247616222
v2.mp4,220,8.8,Tania,0.7930549185847082
v2.mp4,225,9.0,Winkie,0.7792068249780691
v2.mp4,230,9.2,Miko,0.7815588361305122
v2.mp4,235,9.4,露髀,0.7814904936955692
v2.mp4,240,9.6,燒賣,0.7878662235122085
v2.mp4,245,9.8,CK,0.7723223485605251
v2.mp4,250,10.0,2Ling,0.7825166622132574
v2.mp4,255,10.2,Liu 哥,0.7957857918138052
v2.mp4,260,10.4,Ariel,0.7847283557430323
v2.mp4,265,10.6,Miko,0.789506256143754
v2.mp4,270,10.8,Jackie,0.7779827206138654
v2.mp4,275,11.0,阿蛋,0.7781522173658068
v2.mp4,280,11.2,露髀,0.7825734376062013
v2.mp4,285,11.4,Sinnie,0.7824401099956808
v2.mp4,290,11.6,燒賣,0.7915730756635783
v2.mp4,295,11.8,米線,0.7807822907491753
v2.mp4,300,12.0,燒賣,0.7887976241026398
v2.mp4,305,12.2,Jackie,0.7980148587584106
v2.mp4,310,12.4,穎蕎,0.7857455953285191
v2.mp4,315,12.6,CK,0.7754441621102492
v2.mp4,320,12.8,Emi,0.781500759824994
v2.mp4,325,13.0,米線,0.7733295094346669
v2.mp4,330,13.2,CK,0.78269023641214
v2.mp4,335,13.4,Tania,0.7924970930156423
v2.mp4,340,13.6,阿蛋,0.7873472360935874
v2.mp4,345,13.8,筠兒,0.7802210098622631
v2.mp4,350,14.0,Candy,0.7789554047528685
v2.mp4,355,14.2,2Ling,0.7764701473928342
v2.mp4,360,14.4,So Ching,0.7854511690462981
v2.mp4,365,14.6,阿 Mic,0.7923185613082498
v2.mp4,370,14.8,鉦貽,0.7747384817836881
v2.mp4,375,15.0,Miko,0.7749548490490393
v2.mp4,380,15.2,Ashi,0.7854019794654499
v2.mp4,385,15.4,Christine,0.7779033936317881
v2.mp4,390,15.6,Miko,0.7837458702250073
v2.mp4,395,15.8,CK,0.788520619182328
v2.mp4,400,16.0,Hannah,0.7893058322842211
v2.mp4,405,16.2,Miko,0.781284377551315
v2.mp4,410,16.4,So Ching,0.7789460329030293
v2.mp4,415,16.6,超酸,0.7928213847552866
v2.mp4,420,16.8,暐翹,0.7754295235226044
v2.mp4,425,17.0,Sam,0.7907080348422114
v2.mp4,430,17.2,CK,0.7954107419486743
v2.mp4,435,17.4,Stella,0.788789089968537
v2.mp4,440,17.6,燒賣,0.7686317484709851
v2.mp4,445,17.8,阿蛋,0.7907793895339904
v2.mp4,450,18.0,Candy,0.7806567898676962
